Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
Sandy Bridge GT1 ,0.0,10.1,1.0,512.0,Intel,DDR3,Intel HD Graphics Mobile (Sandy Bridge),1,3.1,2014-09-05,0,4.1,21.3,128.0,667.0,2560.0,1600.0
Ivy Bridge ,0.0,11.1,1.0,0.0,Intel,DDR3,Intel HD Graphics Mobile (Ivy Bridge),1,4.0,2012-10-01,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Skylake GT2-U ,0.0,12.1,1.0,512.0,Intel,DDR4,HD i7 6600U,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Calistoga ,0.0,9.0,1.0,0.0,Intel,,Intel GMA 950,1,1.4,2005-03-01,0,2.0,,,,2048.0,1536.0
Haswell ,0.0,11.1,1.0,0.0,Intel,DDR3,Intel HD Graphics Mobile (Haswell),1,4.0,2013-06-01,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Braswell GT1 ,0.0,11.2,1.0,2048.0,Intel,DDR3,Intel HD Graphics Mobile (Braswell),1,4.3,2015-04-01,0,5.0,25.6,128.0,800.0,4096.0,2304.0
Bay Trail GT1 ,0.0,11.0,1.0,1024.0,Intel,DDR3,Intel HD Graphics Mobile (Bay Trail),1,3.0,2013-09-11,0,5.0,21.3,128.0,667.0,2560.0,1600.0
Arrandale ,0.0,10.0,1.0,0.0,Intel,DDR3,Intel HD Graphics Mobile,1,,2010-01-10,0,4.0,8.5,64.0,533.0,,
Kaby Lake ,,12.0,,1024.0,Intel,,Intel HD Graphics 630 Mobile,1,,2017-03-30,0,,,,1067.0,4096.0,2304.0
Skylake GT2 ,0.0,12.1,1.0,1024.0,Intel,DDR4,Intel HD Graphics 620 Mobile,1,4.4,2016-08-01,0,5.0,34.1,128.0,1067.0,,
Broadwell GT3 ,0.0,12.0,1.0,512.0,Intel,DDR3,Intel HD Graphics 6000 Mobile,1,4.4,2015-01-05,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,Intel HD Graphics 5600 Mobile,1,4.4,2015-06-02,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Skylake GT2 ,0.0,12.1,1.0,1024.0,Intel,DDR4,Intel HD Graphics 615 Mobile,1,4.4,2016-08-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Skylake GT2-H ,0.0,12.1,1.0,1024.0,Intel,DDR4,Intel HD Graphics 530 Mobile,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,Intel HD Graphics 5300 Mobile,1,4.4,2014-09-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Skylake GT2-Y ,0.0,12.1,1.0,512.0,Intel,DDR3,Intel HD Graphics 515 Mobile,1,4.4,2015-09-01,0,5.0,29.9,128.0,933.0,4096.0,2304.0
Haswell GT3 ,0.0,11.1,1.0,1024.0,Intel,DDR3,Intel HD Graphics 5000 Mobile,1,4.0,2013-05-27,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Skylake GT1-U ,0.0,12.1,1.0,512.0,Intel,DDR4,Intel HD Graphics 510 Mobile,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Haswell GT1 ,0.0,11.1,1.0,512.0,Intel,DDR3,Intel HD Graphics 4400 Mobile,1,4.3,2013-06-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,Intel HD Graphics 5500 Mobile,1,4.4,2015-01-05,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Haswell GT2 ,0.0,11.1,1.0,512.0,Intel,DDR3,Intel HD Graphics 4600 Mobile,1,4.3,2013-05-27,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Skylake GT2-U ,0.0,12.1,1.0,512.0,Intel,DDR4,Intel HD Graphics 520 Mobile,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Ivy Bridge GT2 ,0.0,11.1,1.0,1024.0,Intel,DDR3,Intel HD Graphics 4000 Mobile,1,4.0,2012-03-08,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,Intel HD Graphics 2000 Mobile,1,3.0,2011-02-01,0,4.1,,128.0,,,
Ivy Bridge ,0.0,11.0,1.0,0.0,Intel,DDR3,Intel HD Graphics 2500 Mobile,1,4.0,2012-04-01,0,5.0,25.6,128.0,800.0,,
Haswell ,0.0,11.1,1.0,0.0,Intel,DDR3,Intel HD Graphics 4200 Mobile,1,4.0,2013-07-01,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Arrandale ,0.0,10.0,1.0,0.0,Intel,DDR3,HD Pentium P6200,1,2.1,2010-09-26,0,4.0,17.1,128.0,533.0,2560.0,1600.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5700EQ,1,4.4,2015-06-02,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Arrandale ,0.0,10.0,1.0,0.0,Intel,DDR3,HD Pentium P6100,1,2.1,2010-09-26,0,4.0,17.1,128.0,533.0,2560.0,1600.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5600U,1,4.4,2015-01-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Broadwell GT3 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5650U,1,4.4,2015-01-05,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Broadwell GT3 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5550U,1,4.4,2015-01-05,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Ivy Bridge ,1.0,11.0,0.0,0.0,Intel,DDR3,HD i7 3920XM,1,4.0,2012-04-29,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Broadwell GT2 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5500U,1,4.4,2015-01-05,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Ivy Bridge GT2 ,0.0,11.1,1.0,1024.0,Intel,DDR3,HD i7 3840QM,1,4.0,2012-04-29,0,5.0,12.8,64.0,800.0,2560.0,1600.0
,0.0,10.1,1.0,0.0,Intel,DDR3,Intel HD Graphics 3000 Mobile,1,3.0,2011-02-01,0,4.1,12.8,64.0,800.0,2560.0,1600.0
Broadwell GT3 ,0.0,12.0,1.0,512.0,Intel,DDR3,HD i7 5557U,1,4.4,2015-01-05,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Ivy Bridge ,1.0,11.0,0.0,0.0,Intel,DDR3,HD i7 3720QM,1,4.0,2012-04-29,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Ivy Bridge ,0.0,11.0,1.0,0.0,Intel,DDR3,HD i7 3630QM,1,4.0,2012-09-01,0,5.0,25.6,128.0,800.0,,
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2920XM,1,3.1,2011-01-09,0,4.1,12.8,64.0,800.0,2560.0,1600.0
Ivy Bridge ,0.0,11.0,1.0,0.0,Intel,DDR3,HD i7 3610QM,1,4.0,2012-04-29,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2820QM,1,,2011-01-09,0,,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2860QM,1,3.1,2011-09-04,0,4.1,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2670QM,1,,2011-11-12,0,,10.7,64.0,667.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2630QM,1,3.1,2011-01-09,0,4.1,10.7,64.0,667.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2640M,1,,2011-09-04,0,,10.7,64.0,667.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2720QM,1,,2011-01-09,0,,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2675QM,1,,2011-01-09,0,,10.7,64.0,667.0,2560.0,1600.0
Ivy Bridge ,1.0,11.0,0.0,0.0,Intel,DDR3,HD i7 3820QM,1,4.0,2012-04-29,0,5.0,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2760QM,1,3.1,2011-09-04,0,4.1,12.8,64.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2620M,1,,2011-02-20,0,,10.7,64.0,667.0,2560.0,1600.0
,0.0,10.0,1.0,0.0,Intel,,Intel GMA 5700M HD,1,2.1,2010-10-01,0,4.0,,,,1600.0,1200.0
Cantiga ,0.0,10.0,1.0,0.0,Intel,DDR3,Intel GMA 4500M HD,1,2.1,2008-10-01,0,4.0,,64.0,,,
PowerVR SGX 545 ,0.0,,1.0,0.0,Intel,DDR3,Intel GMA 3650,1,3.0,2011-11-01,0,3.0,8.5,64.0,533.0,,
Broadwater ,0.0,9.0,1.0,0.0,Intel,,Intel 965 Express Family,1,1.4,2007-05-09,0,2.0,,,,1600.0,1200.0
Skylake GT3-E ,0.0,12.1,1.0,512.0,Intel,DDR4,Iris Graphics 540 Mobile,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Pineview ,0.0,9.0,1.0,0.0,Intel,,Intel GMA 3150,1,1.5,2010-10-01,0,3.0,,,,1600.0,1200.0
Arrandale ,0.0,10.0,1.0,0.0,Intel,DDR3,HD Pentium P6000,1,2.1,2010-06-20,0,4.0,17.1,128.0,533.0,,
Cedar Trail ,0.0,,1.0,0.0,Intel,DDR3,Intel GMA 3600,1,3.0,2011-10-01,0,4.1,8.5,64.0,533.0,,
Haswell GT3 ,0.0,11.1,1.0,512.0,Intel,DDR3,Iris Graphics 5100 Mobile,1,4.0,2013-04-29,0,5.0,25.6,128.0,800.0,2560.0,1600.0
Sandy Bridge ,0.0,10.1,1.0,0.0,Intel,DDR3,HD i7 2617M,1,,2011-02-20,0,,10.7,64.0,667.0,2560.0,1600.0
GL40 ,0.0,10.0,1.0,0.0,Intel,,Intel GMA 4500M,1,,2008-10-01,0,4.0,,128.0,,,
RV620 ,1.0,10.0,0.0,0.0,AMD,DDR2,Radeon HD 3100,1,2.0,2008-08-01,0,4.1,,64.0,,2560.0,1600.0
R680 ,1.0,10.1,0.0,0.0,AMD,GDDR3,Mobility Radeon HD 3870 x2,1,2.0,2008-09-01,0,4.1,108.8,256.0,1700.0,2560.0,1600.0
RV770 ,1.0,10.1,0.0,0.0,AMD,GDDR5,Mobility Radeon HD 4870,1,3.3,2009-01-09,0,4.1,89.6,256.0,700.0,2560.0,1600.0
RV770 ,1.0,10.1,0.0,0.0,AMD,GDDR5,Mobility Radeon HD 4870 x2,1,3.3,2009-01-09,0,4.1,179.2,512.0,700.0,2560.0,1600.0
,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 6755G2,1,,2011-06-14,0,5.0,,,,,
G72GLM ,1.0,9.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 510M,1,2.1,2010-01-07,0,3.0,,256.0,,1600.0,1200.0
G72GLM ,1.0,9.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 300M,1,3.3,2006-05-24,0,4.0,16.0,128.0,500.0,1600.0,1200.0
G84M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 320M,1,3.3,2007-06-09,0,4.0,22.4,128.0,700.0,1600.0,1200.0
G98M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 160M,1,3.3,2008-08-15,0,4.0,11.2,64.0,700.0,1920.0,1200.0
Terascale 3 ,0.0,11.1,1.0,0.0,AMD,DDR3,Radeon HD 8610G,1,4.2,2013-05-23,0,5.0,21.3,128.0,667.0,2560.0,1600.0
Terascale 3: Trinity ,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 7660G,1,4.1,2012-05-15,1,5.0,25.6,128.0,800.0,2560.0,1600.0
G98M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 150M,1,3.3,2008-08-15,0,4.0,11.2,64.0,700.0,1680.0,1050.0
Terascale 3 ,0.0,11.1,1.0,0.0,AMD,DDR3,Radeon HD 8650G,1,4.2,2013-05-23,1,5.0,29.9,128.0,933.0,2560.0,1600.0
Fermi GF108 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,NVS 5400M,1,4.5,2012-06-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
NV18M ,1.0,7.0,0.0,0.0,Nvidia,DDR,GeForce4 Go 488,1,1.2,2002-03-01,0,,1.1,32.0,275.0,,
WinterPark ,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 6380G,1,4.0,2011-06-14,0,5.0,,128.0,,,
RV200 ,1.0,7.0,0.0,0.0,AMD,DDR,Mobility Radeon 7500 64MB,1,1.3,2001-12-01,0,,1.6,64.0,200.0,2048.0,1536.0
G94 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9800M GTS,1,2.1,2008-07-01,0,4.0,51.2,256.0,800.0,2560.0,1600.0
G92 (x2) ,1.0,10.0,0.0,,Nvidia,GDDR3,GeForce 9800M GTX SLI,1,2.1,2008-07-01,1,4.0,102.4,256.0,800.0,2560.0,1600.0
G92 (x2) ,1.0,10.0,0.0,,Nvidia,GDDR3,GeForce 9800M GT SLI,1,2.1,2008-07-01,1,4.0,102.4,256.0,800.0,2560.0,1600.0
G94 (x2) ,1.0,10.0,0.0,,Nvidia,GDDR3,GeForce 9800M GTS SLI,1,2.1,2008-07-01,1,4.0,102.4,256.0,800.0,2560.0,1600.0
G92 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9800M GTX,1,2.1,2008-07-01,1,4.0,51.2,256.0,800.0,2560.0,1600.0
G94 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9800M GS,1,2.1,2008-01-02,0,4.0,51.2,256.0,800.0,2560.0,1600.0
G96 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9700M GT,1,2.1,2008-07-01,0,4.0,25.6,128.0,800.0,2560.0,1600.0
G92 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9800M GT,1,2.1,2008-07-01,1,4.0,51.2,256.0,800.0,2560.0,1600.0
G84 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9650M GS,1,2.1,2008-01-02,0,4.0,25.6,128.0,800.0,2560.0,1600.0
G94 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9700M GTS,1,2.1,2008-07-01,0,4.0,51.2,256.0,800.0,2560.0,1600.0
G96 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9600M GT,1,2.1,2008-01-02,1,4.0,25.6,128.0,800.0,2560.0,1600.0
G96 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9650M GT,1,2.1,2008-08-19,1,4.0,25.6,128.0,800.0,2560.0,1600.0
G84 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9500M GS,1,2.1,2008-02-01,0,4.0,22.4,128.0,700.0,2560.0,1600.0
G96 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9600M GS,1,2.1,2008-06-03,0,4.0,25.6,128.0,800.0,2560.0,1600.0
G96 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9500M G,1,2.1,2008-06-03,1,4.0,25.6,128.0,800.0,2560.0,1600.0
G98 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9300M GS,1,2.1,2008-01-02,1,4.0,11.2,64.0,700.0,2560.0,1600.0
G86 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce 9300M G,1,2.1,2008-01-02,0,4.0,9.6,64.0,600.0,2560.0,1600.0
,1.0,10.0,0.0,0.0,Nvidia,,GeForce 9200M GE,1,2.1,2008-01-02,0,4.0,,,,2560.0,1600.0
,1.0,10.0,0.0,0.0,Nvidia,,GeForce 9400M,1,3.3,2008-10-01,0,4.0,,,,2560.0,1600.0
,1.0,10.0,0.0,0.0,Nvidia,,GeForce 9500M,1,2.1,2008-01-02,0,4.0,,,,2560.0,1600.0
,0.0,10.0,1.0,0.0,Nvidia,,GeForce 9100M,1,2.1,2008-06-03,1,4.0,,128.0,,2560.0,1600.0
G98 ,1.0,10.0,0.0,0.0,Nvidia,DDR3,GeForce 9200M GS,1,2.1,2008-06-03,0,4.0,11.2,64.0,700.0,2560.0,1600.0
NV17M ,1.0,7.0,0.0,0.0,Nvidia,DDR,GeForce4 Go 460,1,1.2,2002-02-06,0,,,32.0,250.0,,
MCP79MX ,0.0,10.0,1.0,0.0,Nvidia,,GeForce 9400M G,1,3.3,2008-10-01,1,4.0,,128.0,,2560.0,1600.0
NV17M ,1.0,7.0,0.0,0.0,Nvidia,DDR,GeForce4 Go 440,1,1.3,2002-02-26,0,,,32.0,220.0,,
GT216M ,1.0,10.1,0.0,0.0,Nvidia,GDDR3,Quadro FX 880M,1,3.2,2010-01-07,0,4.0,25.3,128.0,790.0,,
NV17M ,1.0,7.0,0.0,0.0,Nvidia,DDR,GeForce4 Go 420,1,1.2,2002-02-06,0,,,32.0,200.0,,
NB9P-GLM2 ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 770M,1,2.1,2008-08-14,0,4.0,25.6,128.0,800.0,2560.0,1600.0
NV28M ,1.0,8.1,0.0,0.0,Nvidia,DDR,GeForce4 Go 4200,1,1.3,2002-11-14,0,1.1,3.2,128.0,200.0,,
G92M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 3700M,1,2.1,2008-08-14,0,4.0,51.2,256.0,800.0,2560.0,1600.0
G84M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 570M,1,2.1,2007-06-01,0,4.0,22.4,128.0,700.0,2560.0,1600.0
GT218M ,1.0,10.1,0.0,0.0,Nvidia,GDDR3,Quadro FX 380M,1,3.2,2010-01-07,0,4.0,12.8,64.0,800.0,2560.0,1600.0
G92M ,,10.0,,0.0,Nvidia,GDDR3,Quadro FX 3800M,1,3.2,2009-12-22,0,4.0,64.0,256.0,1000.0,2560.0,1600.0
G86M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 360M,1,2.1,2007-05-09,0,4.0,9.6,64.0,600.0,2560.0,1600.0
G92M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 3600M,1,2.1,2008-02-23,0,4.0,51.2,256.0,800.0,2560.0,1600.0
G92M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 2800M,1,3.2,2009-12-01,0,4.0,64.0,256.0,1000.0,2560.0,1600.0
G72GLM ,1.0,10.0,0.0,0.0,Nvidia,DDR3,Quadro FX 350M,1,2.1,2006-03-31,0,4.0,5.6,64.0,350.0,2560.0,1600.0
G71GLM ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 3500M,1,2.1,2007-03-01,0,4.0,44.8,256.0,700.0,2560.0,1600.0
G71GLM ,1.0,,0.0,0.0,Nvidia,GDDR3,Quadro FX 2500M,1,2.1,2005-09-29,0,4.0,38.4,256.0,600.0,2560.0,1600.0
GT215M ,1.0,10.1,0.0,0.0,Nvidia,GDDR5,Quadro FX 1800M,1,3.2,2010-02-01,0,4.0,70.4,128.0,1100.0,,
G96M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 1700M,1,2.1,2008-10-01,0,4.0,25.6,128.0,800.0,2560.0,1600.0
Kepler GK208 ,1.0,12.0,0.0,128.0,Nvidia,GDDR5,Quadro K610M,1,4.5,2013-07-23,1,5.0,20.8,64.0,650.0,4096.0,2160.0
G71GLM ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 1500M,1,2.1,2006-04-18,0,4.0,32.0,256.0,500.0,2560.0,1600.0
G94M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 2700M,1,2.1,2008-08-14,0,4.0,51.2,256.0,800.0,2560.0,1600.0
RS200 ,0.0,7.0,1.0,0.0,AMD,DDR,Radeon IGP 320M,1,1.4,2002-10-05,0,,,64.0,,,
RS200 ,0.0,7.0,1.0,0.0,AMD,DDR,Radeon IGP 340M,1,1.4,2002-10-05,0,,,64.0,,,
Kepler GK104 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,Quadro K5100M,1,4.5,2013-07-23,0,5.0,115.5,256.0,902.0,4096.0,2160.0
Kepler GK104 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,Quadro K4000M,1,4.5,2012-06-01,0,5.0,89.6,256.0,700.0,4096.0,2160.0
Kepler GK107 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,Quadro K500M,1,4.5,2012-06-01,0,5.0,14.4,64.0,900.0,4096.0,2160.0
Kepler GK104 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,Quadro K5000M,1,4.5,2012-08-01,0,5.0,96.0,256.0,750.0,4096.0,2160.0
Kepler GK104 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,Quadro K3000M,1,4.5,2012-06-01,0,5.0,89.6,256.0,700.0,4096.0,2160.0
Kepler GK107 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,Quadro K2000M,1,4.5,2012-06-01,0,5.0,28.8,128.0,900.0,4096.0,2160.0
GF110GLM ,1.0,11.0,0.0,0.0,Nvidia,GDDR5,Quadro 5010M,1,4.1,2011-02-22,0,5.0,166.4,256.0,1300.0,,
Kepler GK107 ,1.0,12.0,0.0,256.0,Nvidia,GDDR5,Quadro K1100M,1,4.5,2013-07-23,0,5.0,44.8,128.0,700.0,4096.0,2160.0
Kepler GK104 ,1.0,12.0,0.0,512.0,Nvidia,GDDR5,Quadro K3100M,1,4.5,2013-07-23,1,5.0,102.4,256.0,800.0,4096.0,2160.0
Kepler GK107 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,Quadro K1000M,1,4.5,2012-06-01,0,5.0,28.8,128.0,900.0,4096.0,2160.0
GF110GLM ,1.0,11.0,0.0,0.0,Nvidia,GDDR5,Quadro 4000M,1,4.1,2011-02-22,0,5.0,153.6,256.0,1200.0,,
GF110GLM ,1.0,11.0,0.0,0.0,Nvidia,GDDR5,Quadro 3000M,1,4.1,2011-02-22,0,5.0,80.0,256.0,625.0,,
Fermi GF106-N12P-Q3 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,Quadro 2000M,1,4.5,2011-01-13,0,5.0,28.8,128.0,900.0,2560.0,1600.0
G84M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro FX 1600M,1,2.1,2007-06-01,0,4.0,25.6,128.0,800.0,2560.0,1600.0
GF104GLM ,1.0,11.0,0.0,0.0,Nvidia,GDDR5,Quadro 5000M,1,4.0,2010-10-27,0,5.0,153.6,256.0,1200.0,,
Fermi GF108 ,1.0,12.0,0.0,256.0,Nvidia,DDR3,NVS 5200M,1,4.5,2012-06-01,0,5.0,14.4,64.0,900.0,2560.0,1600.0
GF108GLM ,1.0,11.0,0.0,0.0,Nvidia,DDR3,Quadro 1000M,1,4.1,2011-02-22,0,5.0,28.8,128.0,900.0,,
GT216M ,1.0,10.1,0.0,0.0,Nvidia,DDR3,NVS 5100M,1,3.3,2010-01-07,0,4.1,25.6,128.0,800.0,2560.0,1600.0
Fermi GF119 ,1.0,12.0,0.0,128.0,Nvidia,DDR3,NVS 4200M,1,4.5,2011-02-22,0,4.1,12.8,64.0,800.0,2560.0,1600.0
GT218M ,1.0,10.1,0.0,0.0,Nvidia,GDDR3,NVS 3100M,1,3.3,2010-01-07,0,4.1,12.8,64.0,800.0,2560.0,1600.0
G84M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 140M 256MB GDDR3,1,3.3,2007-09-05,0,4.0,11.2,64.0,700.0,1600.0,1200.0
G84M ,1.0,10.0,0.0,0.0,Nvidia,DDR2,Quadro NVS 140M 128MB GDDR2,1,,2007-09-05,0,3.0,11.2,64.0,700.0,1600.0,1200.0
GT218M ,1.0,10.1,0.0,0.0,Nvidia,GDDR3,NVS 2100M,1,3.3,2010-01-07,0,4.1,12.8,64.0,800.0,2560.0,1600.0
G86M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 135M,1,3.3,2007-05-09,0,4.0,9.6,64.0,600.0,1600.0,1200.0
G86M ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,Quadro NVS 130M,1,3.3,2007-05-09,0,4.0,11.2,64.0,700.0,1600.0,1200.0
G72M ,1.0,9.0,0.0,0.0,Nvidia,DDR3,Quadro NVS 120M,1,2.1,2006-06-01,0,3.0,11.2,64.0,700.0,1600.0,1200.0
GCN 1.2 Carrizo ,0.0,12.0,1.0,2048.0,AMD,DDR3,Radeon R7 8800P,1,4.5,2015-06-02,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
G72M ,1.0,9.0,0.0,0.0,Nvidia,DDR,Quadro NVS 110M,1,2.1,2006-06-01,0,3.0,,64.0,,1600.0,1200.0
Kaveri ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7500,1,4.3,2014-06-04,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,1024.0,AMD,DDR3,Radeon R6 7350B,1,4.3,2014-06-30,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Puma+ Carrizo-L ,0.0,12.0,1.0,2048.0,AMD,DDR3,Radeon R5 7410,1,4.4,2015-05-06,0,5.0,29.9,128.0,933.0,4096.0,2304.0
Kaveri ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R6 7400P,1,4.3,2014-06-30,0,5.0,29.9,128.0,933.0,4096.0,2160.0
GCN 1.2 Carrizo ,0.0,12.0,1.0,2048.0,AMD,DDR3,Radeon R6 8700P,1,4.5,2015-06-02,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R6 7300,1,4.3,2014-06-30,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R5 7200P,1,4.3,2014-06-30,0,5.0,29.9,128.0,933.0,4096.0,2160.0
Puma Mullins ML-A1 ,0.0,11.2,1.0,1024.0,AMD,DDR3,Radeon R6 6700T,1,4.3,2014-04-29,0,5.0,10.7,64.0,667.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R5 7100,1,4.3,2014-06-30,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R5 7150B,1,4.3,2014-06-30,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Beema ,0.0,11.2,1.0,2048.0,AMD,DDR3,Radeon R5 6410,1,4.3,2014-06-30,0,5.0,14.9,64.0,933.0,4096.0,2160.0
