Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
NV25 A2 ,1.0,8.1,0.0,0.0,Nvidia,DDR,Quadro4 700 XGL,0,1.5,2002-02-19,0,1.3,3.6,128.0,225.0,,
Skylake GT3-E ,0.0,12.1,1.0,512.0,Intel,DDR4,Iris i5 6287U,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Skylake GT3-E ,0.0,12.1,1.0,512.0,Intel,DDR4,Iris i7 6650U,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
NV17 A3 ,1.0,8.1,0.0,0.0,Nvidia,DDR,Quadro4 500 XGL,0,1.5,2002-02-19,0,1.3,2.7,128.0,166.0,,
Skylake GT3-E ,0.0,12.1,1.0,512.0,Intel,DDR4,Iris i7 6567U,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Skylake GT3-E ,0.0,12.1,1.0,512.0,Intel,DDR4,Iris i7 6560U,1,4.4,2015-09-01,0,5.0,34.1,128.0,1067.0,4096.0,2304.0
Broadwell GT3-E ,0.0,12.0,1.0,1024.0,Intel,DDR3,Iris i7 5950HQ,1,4.4,2015-06-02,0,5.0,29.9,128.0,933.0,4096.0,2304.0
Broadwell GT3-E ,0.0,12.0,1.0,1024.0,Intel,DDR3,Iris i7 5850EQ,1,4.4,2015-06-02,0,5.0,25.6,128.0,800.0,4096.0,2304.0
Pascal GP102 ,,12.0,,3072.0,Nvidia,GDDR5X,Titan X Pascal 2016,0,4.5,2016-08-02,0,5.0,480.0,384.0,1250.0,7680.0,4320.0
Broadwell GT3-E ,0.0,12.0,1.0,1024.0,Intel,DDR3,Iris i7 5850HQ,1,4.4,2015-06-02,0,5.0,29.9,128.0,933.0,4096.0,2304.0
Broadwell GT3-E ,0.0,12.0,1.0,1024.0,Intel,DDR3,Iris i7 5750HQ,1,4.4,2015-06-02,0,5.0,29.9,128.0,933.0,4096.0,2304.0
Pascal GP102 ,1.0,12.0,0.0,,Nvidia,GDDR5X,GeForce Titan XP,0,4.5,2017-04-06,1,5.0,547.2,96.0,1425.0,7680.0,4320.0
Kepler GK110-400-A1 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,GeForce GTX Titan Zotac Edition,0,4.5,2013-02-19,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
